feature_code,year,measurement,units,value,alcohol_condition,hospital_activity,type_of_hospital,hb_assign
S12000034,2012/2013,count,stays,72,Unspecified,stays,general acute hospital,S08000020
S12000033,2014/2015,count,stays,465,Harmful Use,stays,general acute hospital,S08000020
S12000033,2012/2013,count,stays,93,Cirrhosis,stays,general acute hospital,S08000020
S12000034,2011/2012,count,stays,81,Unspecified,stays,general acute hospital,S08000020
S12000033,2018/2019,count,stays,186,Cirrhosis,stays,general acute hospital,S08000020
S12000034,2016/2017,count,stays,39,Unspecified,stays,general acute hospital,S08000020
S12000034,2017/2018,count,stays,60,Unspecified,stays,general acute hospital,S08000020
S12000034,2011/2012,count,stays,48,Cirrhosis,stays,general acute hospital,S08000020
S12000034,2013/2014,count,stays,72,Cirrhosis,stays,general acute hospital,S08000020
S12000034,2014/2015,count,stays,81,Cirrhosis,stays,general acute hospital,S08000020
S12000034,2009/2010,count,stays,114,Withdrawal state,stays,general acute hospital,S08000020
S12000034,2014/2015,count,stays,42,Unspecified,stays,general acute hospital,S08000020
S12000034,2015/2016,count,stays,132,Withdrawal state,stays,general acute hospital,S08000020
S12000034,2015/2016,count,stays,45,Unspecified,stays,general acute hospital,S08000020
S12000034,2009/2010,count,stays,60,Cirrhosis,stays,general acute hospital,S08000020
S12000034,2014/2015,count,stays,141,Withdrawal state,stays,general acute hospital,S08000020
S12000034,2016/2017,count,stays,102,Cirrhosis,stays,general acute hospital,S08000020
S12000034,2015/2016,count,stays,87,Cirrhosis,stays,general acute hospital,S08000020
S12000033,2018/2019,count,stays,261,Alcohol Dependence syndrome,stays,general acute hospital,S08000020
S12000033,2015/2016,count,stays,444,Harmful Use,stays,general acute hospital,S08000020
S12000033,2014/2015,count,stays,429,Acute Intoxication,stays,general acute hospital,S08000020
S12000033,2009/2010,count,stays,843,Harmful Use,stays,general acute hospital,S08000020
S12000033,2012/2013,count,stays,531,Harmful Use,stays,general acute hospital,S08000020
S12000033,2017/2018,count,stays,390,Acute Intoxication,stays,general acute hospital,S08000020
S12000033,2016/2017,count,stays,90,Unspecified,stays,general acute hospital,S08000020
S12000033,2018/2019,count,stays,66,Unspecified,stays,general acute hospital,S08000020
S12000033,2018/2019,count,stays,333,Harmful Use,stays,general acute hospital,S08000020
S12000033,2011/2012,count,stays,138,Unspecified,stays,general acute hospital,S08000020
S12000033,2013/2014,count,stays,120,Unspecified,stays,general acute hospital,S08000020
S12000033,2009/2010,count,stays,156,Unspecified,stays,general acute hospital,S08000020
S12000033,2011/2012,count,stays,354,Acute Intoxication,stays,general acute hospital,S08000020
S12000033,2016/2017,count,stays,417,Acute Intoxication,stays,general acute hospital,S08000020
S12000033,2017/2018,count,stays,84,Unspecified,stays,general acute hospital,S08000020
S12000033,2013/2014,count,stays,537,Harmful Use,stays,general acute hospital,S08000020
S12000033,2015/2016,count,stays,408,Acute Intoxication,stays,general acute hospital,S08000020
S12000033,2017/2018,count,stays,195,Cirrhosis,stays,general acute hospital,S08000020
S12000006,2014/2015,count,stays,78,Withdrawal state,stays,general acute hospital,S08000017
S12000006,2013/2014,count,stays,93,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000006,2017/2018,count,stays,96,Withdrawal state,stays,general acute hospital,S08000017
S12000006,2010/2011,count,stays,51,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000006,2015/2016,count,stays,90,Withdrawal state,stays,general acute hospital,S08000017
S12000006,2018/2019,count,stays,60,Cirrhosis,stays,general acute hospital,S08000017
S12000006,2014/2015,count,stays,66,Cirrhosis,stays,general acute hospital,S08000017
S12000006,2011/2012,count,stays,57,Cirrhosis,stays,general acute hospital,S08000017
S12000006,2009/2010,count,stays,48,Withdrawal state,stays,general acute hospital,S08000017
S12000006,2016/2017,count,stays,54,Cirrhosis,stays,general acute hospital,S08000017
S12000006,2012/2013,count,stays,81,Cirrhosis,stays,general acute hospital,S08000017
S12000006,2014/2015,count,stays,66,Harmful Use,stays,general acute hospital,S08000017
S12000006,2018/2019,count,stays,57,Harmful Use,stays,general acute hospital,S08000017
S12000006,2018/2019,count,stays,162,Acute Intoxication,stays,general acute hospital,S08000017
S12000006,2018/2019,count,stays,117,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000006,2013/2014,count,stays,66,Harmful Use,stays,general acute hospital,S08000017
S12000006,2015/2016,count,stays,51,Harmful Use,stays,general acute hospital,S08000017
S12000006,2010/2011,count,stays,75,Cirrhosis,stays,general acute hospital,S08000017
S12000006,2009/2010,count,stays,87,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000006,2018/2019,count,stays,39,Unspecified,stays,general acute hospital,S08000017
S12000006,2016/2017,count,stays,141,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000006,2017/2018,count,stays,120,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000006,2015/2016,count,stays,102,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000006,2012/2013,count,stays,123,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000006,2013/2014,count,stays,84,Withdrawal state,stays,general acute hospital,S08000017
S12000006,2009/2010,count,stays,39,Cirrhosis,stays,general acute hospital,S08000017
S12000006,2013/2014,count,stays,93,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000006,2011/2012,count,stays,78,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000006,2011/2012,count,stays,81,Withdrawal state,stays,general acute hospital,S08000017
S12000006,2012/2013,count,stays,96,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000006,2017/2018,count,stays,72,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000006,2010/2011,count,stays,66,Withdrawal state,stays,general acute hospital,S08000017
S12000006,2014/2015,count,stays,72,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000006,2016/2017,count,stays,90,Withdrawal state,stays,general acute hospital,S08000017
S12000006,2013/2014,count,stays,75,Cirrhosis,stays,general acute hospital,S08000017
S12000006,2017/2018,count,stays,84,Cirrhosis,stays,general acute hospital,S08000017
S12000006,2015/2016,count,stays,75,Cirrhosis,stays,general acute hospital,S08000017
S12000006,2018/2019,count,stays,78,Withdrawal state,stays,general acute hospital,S08000017
S12000006,2015/2016,count,stays,90,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000006,2012/2013,count,stays,63,Withdrawal state,stays,general acute hospital,S08000017
S12000006,2009/2010,count,stays,87,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000006,2014/2015,count,stays,84,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000006,2016/2017,count,stays,135,Acute Intoxication,stays,general acute hospital,S08000017
S12000006,2010/2011,count,stays,114,Acute Intoxication,stays,general acute hospital,S08000017
S12000006,2014/2015,count,stays,156,Acute Intoxication,stays,general acute hospital,S08000017
S12000006,2017/2018,count,stays,144,Acute Intoxication,stays,general acute hospital,S08000017
S12000006,2011/2012,count,stays,129,Harmful Use,stays,general acute hospital,S08000017
S12000006,2012/2013,count,stays,171,Acute Intoxication,stays,general acute hospital,S08000017
S12000006,2011/2012,count,stays,162,Acute Intoxication,stays,general acute hospital,S08000017
S12000006,2012/2013,count,stays,69,Unspecified,stays,general acute hospital,S08000017
S12000006,2009/2010,count,stays,108,Unspecified,stays,general acute hospital,S08000017
S12000006,2013/2014,count,stays,105,Unspecified,stays,general acute hospital,S08000017
S12000006,2011/2012,count,stays,69,Unspecified,stays,general acute hospital,S08000017
S12000006,2013/2014,count,stays,189,Acute Intoxication,stays,general acute hospital,S08000017
S12000006,2015/2016,count,stays,147,Acute Intoxication,stays,general acute hospital,S08000017
S12000006,2018/2019,count,stays,78,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000006,2015/2016,count,stays,78,Unspecified,stays,general acute hospital,S08000017
S12000006,2017/2018,count,stays,54,Unspecified,stays,general acute hospital,S08000017
S12000006,2016/2017,count,stays,57,Unspecified,stays,general acute hospital,S08000017
S12000006,2014/2015,count,stays,72,Unspecified,stays,general acute hospital,S08000017
S12000006,2016/2017,count,stays,45,Harmful Use,stays,general acute hospital,S08000017
S12000006,2017/2018,count,stays,60,Harmful Use,stays,general acute hospital,S08000017
S12000006,2010/2011,count,stays,204,Harmful Use,stays,general acute hospital,S08000017
S12000006,2009/2010,count,stays,195,Harmful Use,stays,general acute hospital,S08000017
S12000006,2012/2013,count,stays,78,Harmful Use,stays,general acute hospital,S08000017
S12000005,2017/2018,count,stays,15,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000005,2017/2018,count,stays,57,Alcohol Dependence syndrome,stays,general acute hospital,S08000019
S12000005,2012/2013,count,stays,21,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000005,2014/2015,count,stays,21,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000005,2010/2011,count,stays,30,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000005,2013/2014,count,stays,33,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000005,2011/2012,count,stays,30,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000005,2015/2016,count,stays,24,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000005,2016/2017,count,stays,24,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000005,2017/2018,count,stays,57,Withdrawal state,stays,general acute hospital,S08000019
S12000005,2015/2016,count,stays,33,Withdrawal state,stays,general acute hospital,S08000019
S12000005,2009/2010,count,stays,27,Withdrawal state,stays,general acute hospital,S08000019
S12000005,2009/2010,count,stays,42,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000005,2010/2011,count,stays,39,Unspecified,stays,general acute hospital,S08000019
S12000005,2013/2014,count,stays,33,Unspecified,stays,general acute hospital,S08000019
S12000005,2015/2016,count,stays,72,Acute Intoxication,stays,general acute hospital,S08000019
S12000005,2010/2011,count,stays,51,Acute Intoxication,stays,general acute hospital,S08000019
S12000005,2012/2013,count,stays,75,Acute Intoxication,stays,general acute hospital,S08000019
S12000005,2018/2019,count,stays,6,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000005,2018/2019,count,stays,75,Acute Intoxication,stays,general acute hospital,S08000019
S12000005,2011/2012,count,stays,78,Acute Intoxication,stays,general acute hospital,S08000019
S12000005,2012/2013,count,stays,30,Unspecified,stays,general acute hospital,S08000019
S12000005,2009/2010,count,stays,66,Acute Intoxication,stays,general acute hospital,S08000019
S12000005,2011/2012,count,stays,36,Unspecified,stays,general acute hospital,S08000019
S12000005,2009/2010,count,stays,30,Unspecified,stays,general acute hospital,S08000019
S12000005,2013/2014,count,stays,93,Acute Intoxication,stays,general acute hospital,S08000019
S12000005,2014/2015,count,stays,12,Unspecified,stays,general acute hospital,S08000019
S12000005,2009/2010,count,stays,33,Alcohol Dependence syndrome,stays,general acute hospital,S08000019
S12000005,2014/2015,count,stays,45,Withdrawal state,stays,general acute hospital,S08000019
S12000005,2012/2013,count,stays,36,Withdrawal state,stays,general acute hospital,S08000019
S12000005,2010/2011,count,stays,15,Withdrawal state,stays,general acute hospital,S08000019
S12000005,2013/2014,count,stays,45,Withdrawal state,stays,general acute hospital,S08000019
S12000005,2016/2017,count,stays,45,Withdrawal state,stays,general acute hospital,S08000019
S12000005,2018/2019,count,stays,18,Unspecified,stays,general acute hospital,S08000019
S12000005,2018/2019,count,stays,75,Harmful Use,stays,general acute hospital,S08000019
S12000005,2016/2017,count,stays,39,Alcohol Dependence syndrome,stays,general acute hospital,S08000019
S12000005,2013/2014,count,stays,45,Alcohol Dependence syndrome,stays,general acute hospital,S08000019
S12000005,2010/2011,count,stays,9,Cirrhosis,stays,general acute hospital,S08000019
S12000005,2011/2012,count,stays,48,Alcohol Dependence syndrome,stays,general acute hospital,S08000019
S12000005,2011/2012,count,stays,39,Harmful Use,stays,general acute hospital,S08000019
S12000005,2016/2017,count,stays,18,Cirrhosis,stays,general acute hospital,S08000019
S12000006,2010/2011,count,stays,93,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000006,2011/2012,count,stays,99,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000006,2016/2017,count,stays,75,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000005,2013/2014,count,stays,18,Cirrhosis,stays,general acute hospital,S08000019
S12000005,2011/2012,count,stays,21,Withdrawal state,stays,general acute hospital,S08000019
S12000005,2014/2015,count,stays,42,Harmful Use,stays,general acute hospital,S08000019
S12000005,2013/2014,count,stays,36,Harmful Use,stays,general acute hospital,S08000019
S12000005,2012/2013,count,stays,48,Harmful Use,stays,general acute hospital,S08000019
S12000005,2015/2016,count,stays,57,Harmful Use,stays,general acute hospital,S08000019
S12000005,2018/2019,count,stays,48,Alcohol Dependence syndrome,stays,general acute hospital,S08000019
S12000005,2010/2011,count,stays,30,Alcohol Dependence syndrome,stays,general acute hospital,S08000019
S12000005,2017/2018,count,stays,90,Acute Intoxication,stays,general acute hospital,S08000019
S12000005,2016/2017,count,stays,69,Acute Intoxication,stays,general acute hospital,S08000019
S12000005,2014/2015,count,stays,81,Acute Intoxication,stays,general acute hospital,S08000019
S12000005,2011/2012,count,stays,6,Cirrhosis,stays,general acute hospital,S08000019
S12000005,2012/2013,count,stays,27,Alcohol Dependence syndrome,stays,general acute hospital,S08000019
S12000005,2015/2016,count,stays,48,Alcohol Dependence syndrome,stays,general acute hospital,S08000019
S12000005,2014/2015,count,stays,42,Alcohol Dependence syndrome,stays,general acute hospital,S08000019
S12000005,2012/2013,count,stays,21,Cirrhosis,stays,general acute hospital,S08000019
S12000005,2010/2011,count,stays,60,Harmful Use,stays,general acute hospital,S08000019
S12000005,2018/2019,count,stays,57,Withdrawal state,stays,general acute hospital,S08000019
S12000005,2009/2010,count,stays,51,Harmful Use,stays,general acute hospital,S08000019
S12000005,2014/2015,count,stays,12,Cirrhosis,stays,general acute hospital,S08000019
S12000005,2018/2019,count,stays,24,Cirrhosis,stays,general acute hospital,S08000019
S12000005,2009/2010,count,stays,3,Cirrhosis,stays,general acute hospital,S08000019
S12000005,2016/2017,count,stays,54,Harmful Use,stays,general acute hospital,S08000019
S12000005,2017/2018,count,stays,15,Cirrhosis,stays,general acute hospital,S08000019
S12000005,2015/2016,count,stays,18,Cirrhosis,stays,general acute hospital,S08000019
S12000005,2017/2018,count,stays,63,Harmful Use,stays,general acute hospital,S08000019
S12000010,2015/2016,count,stays,24,Unspecified,stays,general acute hospital,S08000024
S12000010,2017/2018,count,stays,129,Harmful Use,stays,general acute hospital,S08000024
S12000010,2016/2017,count,stays,18,Unspecified,stays,general acute hospital,S08000024
S12000010,2018/2019,count,stays,12,Unspecified,stays,general acute hospital,S08000024
S12000010,2018/2019,count,stays,96,Acute Intoxication,stays,general acute hospital,S08000024
S12000010,2015/2016,count,stays,66,Acute Intoxication,stays,general acute hospital,S08000024
S12000010,2017/2018,count,stays,15,Unspecified,stays,general acute hospital,S08000024
S12000010,2014/2015,count,stays,36,Unspecified,stays,general acute hospital,S08000024
S12000010,2011/2012,count,stays,63,Acute Intoxication,stays,general acute hospital,S08000024
S12000010,2010/2011,count,stays,48,Unspecified,stays,general acute hospital,S08000024
S12000010,2018/2019,count,stays,21,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000010,2009/2010,count,stays,48,Acute Intoxication,stays,general acute hospital,S08000024
S12000010,2018/2019,count,stays,96,Harmful Use,stays,general acute hospital,S08000024
S12000010,2011/2012,count,stays,27,Unspecified,stays,general acute hospital,S08000024
S12000010,2009/2010,count,stays,39,Unspecified,stays,general acute hospital,S08000024
S12000010,2017/2018,count,stays,72,Acute Intoxication,stays,general acute hospital,S08000024
S12000010,2013/2014,count,stays,30,Unspecified,stays,general acute hospital,S08000024
S12000010,2012/2013,count,stays,78,Acute Intoxication,stays,general acute hospital,S08000024
S12000010,2014/2015,count,stays,69,Acute Intoxication,stays,general acute hospital,S08000024
S12000010,2014/2015,count,stays,195,Harmful Use,stays,general acute hospital,S08000024
S12000010,2016/2017,count,stays,123,Harmful Use,stays,general acute hospital,S08000024
S12000008,2018/2019,count,stays,141,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000008,2013/2014,count,stays,138,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000010,2016/2017,count,stays,57,Acute Intoxication,stays,general acute hospital,S08000024
S12000010,2011/2012,count,stays,195,Harmful Use,stays,general acute hospital,S08000024
S12000010,2013/2014,count,stays,69,Acute Intoxication,stays,general acute hospital,S08000024
S12000010,2009/2010,count,stays,165,Harmful Use,stays,general acute hospital,S08000024
S12000010,2015/2016,count,stays,159,Harmful Use,stays,general acute hospital,S08000024
S12000010,2013/2014,count,stays,147,Harmful Use,stays,general acute hospital,S08000024
S12000010,2012/2013,count,stays,177,Harmful Use,stays,general acute hospital,S08000024
S12000010,2010/2011,count,stays,63,Acute Intoxication,stays,general acute hospital,S08000024
S12000010,2010/2011,count,stays,210,Harmful Use,stays,general acute hospital,S08000024
S12000010,2009/2010,count,stays,42,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000010,2013/2014,count,stays,81,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000010,2010/2011,count,stays,105,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000010,2012/2013,count,stays,75,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000010,2014/2015,count,stays,54,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000010,2014/2015,count,stays,33,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000010,2009/2010,count,stays,93,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000010,2014/2015,count,stays,54,Withdrawal state,stays,general acute hospital,S08000024
S12000010,2010/2011,count,stays,33,Withdrawal state,stays,general acute hospital,S08000024
S12000010,2011/2012,count,stays,27,Withdrawal state,stays,general acute hospital,S08000024
S12000010,2016/2017,count,stays,54,Withdrawal state,stays,general acute hospital,S08000024
S12000010,2011/2012,count,stays,96,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000010,2012/2013,count,stays,39,Withdrawal state,stays,general acute hospital,S08000024
S12000010,2010/2011,count,stays,39,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000010,2012/2013,count,stays,27,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000010,2013/2014,count,stays,54,Withdrawal state,stays,general acute hospital,S08000024
S12000010,2016/2017,count,stays,45,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000010,2018/2019,count,stays,60,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000010,2015/2016,count,stays,42,Withdrawal state,stays,general acute hospital,S08000024
S12000010,2017/2018,count,stays,48,Withdrawal state,stays,general acute hospital,S08000024
S12000010,2009/2010,count,stays,42,Withdrawal state,stays,general acute hospital,S08000024
S12000010,2016/2017,count,stays,27,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000010,2012/2013,count,stays,30,Unspecified,stays,general acute hospital,S08000024
S12000010,2013/2014,count,stays,72,Cirrhosis,stays,general acute hospital,S08000024
S12000010,2012/2013,count,stays,63,Cirrhosis,stays,general acute hospital,S08000024
S12000010,2018/2019,count,stays,75,Withdrawal state,stays,general acute hospital,S08000024
S12000010,2010/2011,count,stays,75,Cirrhosis,stays,general acute hospital,S08000024
S12000010,2011/2012,count,stays,99,Cirrhosis,stays,general acute hospital,S08000024
S12000010,2018/2019,count,stays,81,Cirrhosis,stays,general acute hospital,S08000024
S12000010,2009/2010,count,stays,42,Cirrhosis,stays,general acute hospital,S08000024
S12000010,2011/2012,count,stays,45,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000010,2017/2018,count,stays,27,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000010,2015/2016,count,stays,24,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000010,2014/2015,count,stays,72,Cirrhosis,stays,general acute hospital,S08000024
S12000010,2016/2017,count,stays,105,Cirrhosis,stays,general acute hospital,S08000024
S12000010,2017/2018,count,stays,105,Cirrhosis,stays,general acute hospital,S08000024
S12000010,2015/2016,count,stays,78,Cirrhosis,stays,general acute hospital,S08000024
S12000010,2013/2014,count,stays,39,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000008,2010/2011,count,stays,90,Unspecified,stays,general acute hospital,S08000015
S12000008,2018/2019,count,stays,186,Harmful Use,stays,general acute hospital,S08000015
S12000008,2012/2013,count,stays,294,Harmful Use,stays,general acute hospital,S08000015
S12000008,2011/2012,count,stays,369,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2012/2013,count,stays,30,Cirrhosis,stays,general acute hospital,S08000015
S12000008,2016/2017,count,stays,84,Unspecified,stays,general acute hospital,S08000015
S12000008,2018/2019,count,stays,81,Unspecified,stays,general acute hospital,S08000015
S12000008,2018/2019,count,stays,219,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2013/2014,count,stays,126,Unspecified,stays,general acute hospital,S08000015
S12000008,2012/2013,count,stays,102,Unspecified,stays,general acute hospital,S08000015
S12000008,2014/2015,count,stays,267,Harmful Use,stays,general acute hospital,S08000015
S12000008,2013/2014,count,stays,225,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2017/2018,count,stays,228,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2010/2011,count,stays,21,Cirrhosis,stays,general acute hospital,S08000015
S12000008,2009/2010,count,stays,18,Cirrhosis,stays,general acute hospital,S08000015
S12000008,2015/2016,count,stays,261,Harmful Use,stays,general acute hospital,S08000015
S12000008,2016/2017,count,stays,240,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2013/2014,count,stays,279,Harmful Use,stays,general acute hospital,S08000015
S12000008,2014/2015,count,stays,225,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2015/2016,count,stays,210,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2009/2010,count,stays,306,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2011/2012,count,stays,261,Harmful Use,stays,general acute hospital,S08000015
S12000008,2011/2012,count,stays,21,Cirrhosis,stays,general acute hospital,S08000015
S12000008,2018/2019,count,stays,108,Cirrhosis,stays,general acute hospital,S08000015
S12000008,2013/2014,count,stays,36,Cirrhosis,stays,general acute hospital,S08000015
S12000008,2017/2018,count,stays,72,Cirrhosis,stays,general acute hospital,S08000015
S12000008,2015/2016,count,stays,48,Cirrhosis,stays,general acute hospital,S08000015
S12000008,2010/2011,count,stays,486,Harmful Use,stays,general acute hospital,S08000015
S12000008,2016/2017,count,stays,69,Cirrhosis,stays,general acute hospital,S08000015
S12000008,2014/2015,count,stays,39,Cirrhosis,stays,general acute hospital,S08000015
S12000008,2015/2016,count,stays,90,Unspecified,stays,general acute hospital,S08000015
S12000008,2014/2015,count,stays,120,Unspecified,stays,general acute hospital,S08000015
S12000008,2009/2010,count,stays,507,Harmful Use,stays,general acute hospital,S08000015
S12000008,2016/2017,count,stays,261,Harmful Use,stays,general acute hospital,S08000015
S12000008,2017/2018,count,stays,207,Harmful Use,stays,general acute hospital,S08000015
S12000008,2010/2011,count,stays,354,Acute Intoxication,stays,general acute hospital,S08000015
S12000008,2017/2018,count,stays,66,Unspecified,stays,general acute hospital,S08000015
S12000008,2017/2018,count,stays,57,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000008,2011/2012,count,stays,177,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000008,2011/2012,count,stays,66,Unspecified,stays,general acute hospital,S08000015
S12000008,2016/2017,count,stays,81,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000008,2012/2013,count,stays,318,Acute Intoxication,stays,general acute hospital,S08000015
S12000006,2010/2011,count,stays,84,Unspecified,stays,general acute hospital,S08000017
S12000006,2009/2010,count,stays,108,Acute Intoxication,stays,general acute hospital,S08000017
S12000008,2009/2010,count,stays,171,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000008,2009/2010,count,stays,114,Unspecified,stays,general acute hospital,S08000015
S12000008,2012/2013,count,stays,108,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000008,2015/2016,count,stays,54,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000008,2013/2014,count,stays,138,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000008,2018/2019,count,stays,39,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000008,2010/2011,count,stays,171,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000008,2014/2015,count,stays,99,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000008,2017/2018,count,stays,120,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000008,2014/2015,count,stays,117,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000008,2012/2013,count,stays,138,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000008,2015/2016,count,stays,114,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000008,2018/2019,count,stays,141,Withdrawal state,stays,general acute hospital,S08000015
S12000008,2016/2017,count,stays,123,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000008,2010/2011,count,stays,102,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000008,2016/2017,count,stays,150,Withdrawal state,stays,general acute hospital,S08000015
S12000008,2012/2013,count,stays,99,Withdrawal state,stays,general acute hospital,S08000015
S12000008,2013/2014,count,stays,99,Withdrawal state,stays,general acute hospital,S08000015
S12000008,2011/2012,count,stays,117,Withdrawal state,stays,general acute hospital,S08000015
S12000008,2009/2010,count,stays,114,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000008,2017/2018,count,stays,105,Withdrawal state,stays,general acute hospital,S08000015
S12000008,2009/2010,count,stays,114,Withdrawal state,stays,general acute hospital,S08000015
S12000008,2011/2012,count,stays,162,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000008,2010/2011,count,stays,111,Withdrawal state,stays,general acute hospital,S08000015
S12000008,2014/2015,count,stays,111,Withdrawal state,stays,general acute hospital,S08000015
S12000008,2015/2016,count,stays,114,Withdrawal state,stays,general acute hospital,S08000015
S12000050,2011/2012,count,stays,426,Withdrawal state,stays,general acute hospital,S08000032
S12000050,2017/2018,count,stays,534,Withdrawal state,stays,general acute hospital,S08000032
S12000050,2012/2013,count,stays,381,Withdrawal state,stays,general acute hospital,S08000032
S12000050,2009/2010,count,stays,402,Withdrawal state,stays,general acute hospital,S08000032
S12000050,2014/2015,count,stays,465,Withdrawal state,stays,general acute hospital,S08000032
S12000050,2015/2016,count,stays,561,Withdrawal state,stays,general acute hospital,S08000032
S12000050,2013/2014,count,stays,462,Withdrawal state,stays,general acute hospital,S08000032
S12000050,2016/2017,count,stays,522,Withdrawal state,stays,general acute hospital,S08000032
S12000040,2016/2017,count,stays,405,Acute Intoxication,stays,general acute hospital,S08000024
S12000040,2009/2010,count,stays,165,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000040,2010/2011,count,stays,147,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000040,2012/2013,count,stays,156,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000040,2013/2014,count,stays,135,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000040,2018/2019,count,stays,87,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000040,2014/2015,count,stays,117,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000040,2011/2012,count,stays,207,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000040,2017/2018,count,stays,96,Toxic Effects of Alcohol,stays,general acute hospital,S08000024
S12000040,2010/2011,count,stays,279,Acute Intoxication,stays,general acute hospital,S08000024
S12000050,2014/2015,count,stays,255,Unspecified,stays,general acute hospital,S08000032
