_id,FinancialYear,FinancialYearQF,AdmissionType,AdmissionTypeQF,HB,HBQF,SIMD,SIMDQF,Episodes,EpisodesQF,Stays,StaysQF,TotalLengthofEpisode,TotalLengthofEpisodeQF,TotalLengthofStay,TotalLengthofStayQF,AverageLengthofEpisodeRate,AverageLengthofEpisodeRateQF,AverageLengthofStayRate,AverageLengthofStayRateQF,Patients,PatientsQF
937,2011/12,"",All Inpatients and Daycases, d,S27000001,"",All SIMDs, d,3938,"",3158,"",45452,"",26686,"",11.54,"",8.45,"",3603,""
938,2011/12,"",All Inpatients and Daycases, d,S27000001,"","",:,15,"",15,"",184,"",105,"",12.27,"",7,"",15,""
939,2011/12,"",Day case,"",S92000003, d,1,"",105371,"",102635,"",0,"",10,"",0,"",0,"",69988,""
940,2011/12,"",Day case,"",S92000003, d,2,"",95945,"",94138,"",0,"",10,"",0,"",0,"",61857,""
941,2011/12,"",Day case,"",S92000003, d,3,"",88496,"",87207,"",0,"",5,"",0,"",0,"",58441,""
942,2011/12,"",Day case,"",S92000003, d,4,"",81671,"",80574,"",0,"",5,"",0,"",0,"",53375,""
943,2011/12,"",Day case,"",S92000003, d,5,"",81058,"",80035,"",0,"",16,"",0,"",0,"",50526,""
944,2011/12,"",Day case,"",S92000003, d,All SIMDs, d,453545,"",445570,"",0,"",45,"",0,"",0,"",294899,""
945,2011/12,"",Day case,"",S92000003, d,"",:,1004,"",981,"",0,"",0,"",0,"",0,"",712,""
946,2011/12,"",Day case,"",S08000015,"",1,"",10014,"",9573,"",0,"",0,"",0,"",0,"",6895,""
947,2011/12,"",Day case,"",S08000015,"",2,"",10477,"",10153,"",0,"",0,"",0,"",0,"",6615,""
948,2011/12,"",Day case,"",S08000015,"",3,"",5349,"",5214,"",0,"",0,"",0,"",0,"",3432,""
949,2011/12,"",Day case,"",S08000015,"",4,"",4868,"",4740,"",0,"",0,"",0,"",0,"",3211,""
950,2011/12,"",Day case,"",S08000015,"",5,"",4463,"",4389,"",0,"",0,"",0,"",0,"",2748,""
951,2011/12,"",Day case,"",S08000015,"",All SIMDs, d,35186,"",34083,"",0,"",0,"",0,"",0,"",22912,""
952,2011/12,"",Day case,"",S08000015,"","",:,15,"",14,"",0,"",0,"",0,"",0,"",11,""
953,2011/12,"",Day case,"",S08000016,"",1,"",365,"",365,"",0,"",0,"",0,"",0,"",270,""
954,2011/12,"",Day case,"",S08000016,"",2,"",1017,"",1013,"",0,"",0,"",0,"",0,"",688,""
955,2011/12,"",Day case,"",S08000016,"",3,"",2265,"",2248,"",0,"",0,"",0,"",0,"",1403,""
956,2011/12,"",Day case,"",S08000016,"",4,"",3047,"",3033,"",0,"",0,"",0,"",0,"",1885,""
957,2011/12,"",Day case,"",S08000016,"",5,"",437,"",433,"",0,"",0,"",0,"",0,"",260,""
958,2011/12,"",Day case,"",S08000016,"",All SIMDs, d,7446,"",7404,"",0,"",0,"",0,"",0,"",4728,""
959,2011/12,"",Day case,"",S08000016,"","",:,315,"",310,"",0,"",0,"",0,"",0,"",222,""
960,2011/12,"",Day case,"",S08000017,"",1,"",999,"",973,"",0,"",0,"",0,"",0,"",821,""
961,2011/12,"",Day case,"",S08000017,"",2,"",3031,"",2946,"",0,"",0,"",0,"",0,"",2437,""
962,2011/12,"",Day case,"",S08000017,"",3,"",5076,"",4960,"",0,"",0,"",0,"",0,"",4055,""
963,2011/12,"",Day case,"",S08000017,"",4,"",2890,"",2818,"",0,"",0,"",0,"",0,"",2248,""
964,2011/12,"",Day case,"",S08000017,"",5,"",962,"",934,"",0,"",0,"",0,"",0,"",768,""
965,2011/12,"",Day case,"",S08000017,"",All SIMDs, d,12989,"",12656,"",0,"",0,"",0,"",0,"",10355,""
966,2011/12,"",Day case,"",S08000017,"","",:,31,"",25,"",0,"",0,"",0,"",0,"",26,""
967,2011/12,"",Day case,"",S08000019,"",1,"",1637,"",1636,"",0,"",0,"",0,"",0,"",1416,""
968,2011/12,"",Day case,"",S08000019,"",2,"",2479,"",2476,"",0,"",0,"",0,"",0,"",2163,""
969,2011/12,"",Day case,"",S08000019,"",3,"",1784,"",1781,"",0,"",0,"",0,"",0,"",1581,""
970,2011/12,"",Day case,"",S08000019,"",4,"",1855,"",1851,"",0,"",0,"",0,"",0,"",1630,""
971,2011/12,"",Day case,"",S08000019,"",5,"",1590,"",1585,"",0,"",0,"",0,"",0,"",1405,""
972,2011/12,"",Day case,"",S08000019,"",All SIMDs, d,9345,"",9330,"",0,"",0,"",0,"",0,"",8195,""
973,2011/12,"",Day case,"",S08000019,"","",:,0,"",0,"",0,"",0,"",0,"",0,"",0,""
974,2011/12,"",Day case,"",S08000020,"",1,"",2875,"",2861,"",0,"",0,"",0,"",0,"",2193,""
975,2011/12,"",Day case,"",S08000020,"",2,"",6215,"",6193,"",0,"",0,"",0,"",0,"",4756,""
976,2011/12,"",Day case,"",S08000020,"",3,"",10284,"",10226,"",0,"",0,"",0,"",0,"",7599,""
977,2011/12,"",Day case,"",S08000020,"",4,"",11136,"",11091,"",0,"",0,"",0,"",0,"",8291,""
978,2011/12,"",Day case,"",S08000020,"",5,"",13066,"",13020,"",0,"",0,"",0,"",0,"",9783,""
979,2011/12,"",Day case,"",S08000020,"",All SIMDs, d,43803,"",43617,"",0,"",0,"",0,"",0,"",32803,""
980,2011/12,"",Day case,"",S08000020,"","",:,227,"",226,"",0,"",0,"",0,"",0,"",181,""
981,2011/12,"",Day case,"",S08000022,"",1,"",1683,"",1672,"",0,"",0,"",0,"",0,"",1119,""
982,2011/12,"",Day case,"",S08000022,"",2,"",4236,"",4218,"",0,"",0,"",0,"",0,"",2839,""
983,2011/12,"",Day case,"",S08000022,"",3,"",6533,"",6503,"",0,"",0,"",0,"",0,"",4422,""
984,2011/12,"",Day case,"",S08000022,"",4,"",5767,"",5741,"",0,"",0,"",0,"",0,"",3812,""
985,2011/12,"",Day case,"",S08000022,"",5,"",1570,"",1560,"",0,"",0,"",0,"",0,"",995,""
986,2011/12,"",Day case,"",S08000022,"",All SIMDs, d,19797,"",19703,"",0,"",0,"",0,"",0,"",13196,""
987,2011/12,"",Day case,"",S08000022,"","",:,10,"",10,"",0,"",0,"",0,"",0,"",10,""
988,2011/12,"",Day case,"",S08000024,"",1,"",8421,"",8344,"",0,"",5,"",0,"",0,"",5076,""
989,2011/12,"",Day case,"",S08000024,"",2,"",12355,"",12243,"",0,"",5,"",0,"",0,"",7340,""
990,2011/12,"",Day case,"",S08000024,"",3,"",11482,"",11380,"",0,"",5,"",0,"",0,"",6704,""
991,2011/12,"",Day case,"",S08000024,"",4,"",11073,"",10969,"",0,"",5,"",0,"",0,"",6206,""
992,2011/12,"",Day case,"",S08000024,"",5,"",17234,"",17091,"",0,"",15,"",0,"",0,"",8892,""
993,2011/12,"",Day case,"",S08000024,"",All SIMDs, d,60827,"",60287,"",0,"",35,"",0,"",0,"",34377,""
994,2011/12,"",Day case,"",S08000024,"","",:,262,"",260,"",0,"",0,"",0,"",0,"",159,""
995,2011/12,"",Day case,"",S08000025,"",2,"",821,"",821,"",0,"",0,"",0,"",0,"",316,""
996,2011/12,"",Day case,"",S08000025,"",3,"",784,"",783,"",0,"",0,"",0,"",0,"",298,""
997,2011/12,"",Day case,"",S08000025,"",4,"",1402,"",1398,"",0,"",0,"",0,"",0,"",797,""
998,2011/12,"",Day case,"",S08000025,"",5,"",148,"",148,"",0,"",0,"",0,"",0,"",48,""
999,2011/12,"",Day case,"",S08000025,"",All SIMDs, d,3155,"",3150,"",0,"",0,"",0,"",0,"",1459,""
1000,2011/12,"",Day case,"",S08000026,"",2,"",160,"",160,"",0,"",0,"",0,"",0,"",115,""
1001,2011/12,"",Day case,"",S08000026,"",3,"",791,"",790,"",0,"",0,"",0,"",0,"",616,""
1002,2011/12,"",Day case,"",S08000026,"",4,"",867,"",867,"",0,"",0,"",0,"",0,"",700,""
1003,2011/12,"",Day case,"",S08000026,"",5,"",110,"",110,"",0,"",0,"",0,"",0,"",92,""
1004,2011/12,"",Day case,"",S08000026,"",All SIMDs, d,1926,"",1925,"",0,"",0,"",0,"",0,"",1523,""
1005,2011/12,"",Day case,"",S08000028,"",2,"",935,"",925,"",0,"",0,"",0,"",0,"",795,""
1006,2011/12,"",Day case,"",S08000028,"",3,"",1199,"",1196,"",0,"",0,"",0,"",0,"",1017,""
1007,2011/12,"",Day case,"",S08000028,"",5,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
1008,2011/12,"",Day case,"",S08000028,"",All SIMDs, d,2134,"",2121,"",0,"",0,"",0,"",0,"",1815,""
1009,2011/12,"",Day case,"",S08000028,"","",:,0,"",0,"",0,"",0,"",0,"",0,"",0,""
1010,2011/12,"",Day case,"",S08000029,"",1,"",4647,"",4443,"",0,"",0,"",0,"",0,"",2647,""
1011,2011/12,"",Day case,"",S08000029,"",2,"",6193,"",5983,"",0,"",0,"",0,"",0,"",3068,""
1012,2011/12,"",Day case,"",S08000029,"",3,"",4627,"",4430,"",0,"",0,"",0,"",0,"",2393,""
1013,2011/12,"",Day case,"",S08000029,"",4,"",3820,"",3704,"",0,"",0,"",0,"",0,"",1961,""
1014,2011/12,"",Day case,"",S08000029,"",5,"",4270,"",4146,"",0,"",0,"",0,"",0,"",2158,""
1015,2011/12,"",Day case,"",S08000029,"",All SIMDs, d,23576,"",22723,"",0,"",0,"",0,"",0,"",12240,""
1016,2011/12,"",Day case,"",S08000029,"","",:,19,"",17,"",0,"",0,"",0,"",0,"",13,""
1017,2011/12,"",Day case,"",S08000030,"",1,"",3242,"",3199,"",0,"",0,"",0,"",0,"",2613,""
1018,2011/12,"",Day case,"",S08000030,"",2,"",2893,"",2861,"",0,"",0,"",0,"",0,"",2350,""
1019,2011/12,"",Day case,"",S08000030,"",3,"",3228,"",3212,"",0,"",0,"",0,"",0,"",2676,""
1020,2011/12,"",Day case,"",S08000030,"",4,"",5396,"",5366,"",0,"",0,"",0,"",0,"",4371,""
1021,2011/12,"",Day case,"",S08000030,"",5,"",3488,"",3470,"",0,"",0,"",0,"",0,"",2785,""
1022,2011/12,"",Day case,"",S08000030,"",All SIMDs, d,18262,"",18123,"",0,"",0,"",0,"",0,"",14798,""
1023,2011/12,"",Day case,"",S08000030,"","",:,15,"",15,"",0,"",0,"",0,"",0,"",5,""
1024,2011/12,"",Day case,"",S08000031,"",1,"",56070,"",54358,"",0,"",5,"",0,"",0,"",36162,""
1025,2011/12,"",Day case,"",S08000031,"",2,"",29736,"",28958,"",0,"",5,"",0,"",0,"",18011,""
1026,2011/12,"",Day case,"",S08000031,"",3,"",23779,"",23333,"",0,"",0,"",0,"",0,"",14462,""
1027,2011/12,"",Day case,"",S08000031,"",4,"",22670,"",22211,"",0,"",0,"",0,"",0,"",13743,""
1028,2011/12,"",Day case,"",S08000031,"",5,"",27385,"",26915,"",0,"",0,"",0,"",0,"",16176,""
1029,2011/12,"",Day case,"",S08000031,"",All SIMDs, d,159724,"",155854,"",0,"",10,"",0,"",0,"",98621,""
1030,2011/12,"",Day case,"",S08000031,"","",:,84,"",79,"",0,"",0,"",0,"",0,"",67,""
1031,2011/12,"",Day case,"",S08000032,"",1,"",13261,"",13114,"",0,"",0,"",0,"",0,"",9417,""
1032,2011/12,"",Day case,"",S08000032,"",2,"",13750,"",13569,"",0,"",0,"",0,"",0,"",9497,""
1033,2011/12,"",Day case,"",S08000032,"",3,"",9844,"",9701,"",0,"",0,"",0,"",0,"",7046,""
1034,2011/12,"",Day case,"",S08000032,"",4,"",5702,"",5634,"",0,"",0,"",0,"",0,"",3936,""
1035,2011/12,"",Day case,"",S08000032,"",5,"",4953,"",4871,"",0,"",0,"",0,"",0,"",3545,""
1036,2011/12,"",Day case,"",S08000032,"",All SIMDs, d,47525,"",46904,"",0,"",0,"",0,"",0,"",33449,""
1037,2011/12,"",Day case,"",S08000032,"","",:,15,"",15,"",0,"",0,"",0,"",0,"",10,""
1038,2011/12,"",Day case,"",SB0801,"",1,"",2053,"",1993,"",0,"",0,"",0,"",0,"",1916,""
1039,2011/12,"",Day case,"",SB0801,"",2,"",1490,"",1462,"",0,"",0,"",0,"",0,"",1385,""
1040,2011/12,"",Day case,"",SB0801,"",3,"",1321,"",1300,"",0,"",0,"",0,"",0,"",1249,""
1041,2011/12,"",Day case,"",SB0801,"",4,"",1060,"",1035,"",0,"",0,"",0,"",0,"",990,""
1042,2011/12,"",Day case,"",SB0801,"",5,"",1196,"",1175,"",0,"",0,"",0,"",0,"",1123,""
1043,2011/12,"",Day case,"",SB0801,"",All SIMDs, d,7129,"",6969,"",0,"",0,"",0,"",0,"",6670,""
1044,2011/12,"",Day case,"",SB0801,"","",:,5,"",5,"",0,"",0,"",0,"",0,"",5,""
1045,2011/12,"",Day case,"",S27000001,"",1,"",100,"",100,"",0,"",0,"",0,"",0,"",100,""
1046,2011/12,"",Day case,"",S27000001,"",2,"",160,"",160,"",0,"",0,"",0,"",0,"",158,""
1047,2011/12,"",Day case,"",S27000001,"",3,"",150,"",150,"",0,"",0,"",0,"",0,"",150,""
1048,2011/12,"",Day case,"",S27000001,"",4,"",115,"",115,"",0,"",0,"",0,"",0,"",116,""
1049,2011/12,"",Day case,"",S27000001,"",5,"",189,"",189,"",0,"",0,"",0,"",0,"",189,""
1050,2011/12,"",Day case,"",S27000001,"",All SIMDs, d,721,"",721,"",0,"",0,"",0,"",0,"",719,""
1051,2011/12,"",Day case,"",S27000001,"","",:,5,"",5,"",0,"",0,"",0,"",0,"",5,""
1052,2011/12,"",Elective,"",S92000003, d,1,"",39392,"",39360,"",126796,"",158115,"",3.22,"",4.02,"",31387,""
1053,2011/12,"",Elective,"",S92000003, d,2,"",37269,"",37297,"",118737,"",154295,"",3.19,"",4.14,"",30031,""
1054,2011/12,"",Elective,"",S92000003, d,3,"",36719,"",36706,"",114815,"",154385,"",3.13,"",4.21,"",29991,""
1055,2011/12,"",Elective,"",S92000003, d,4,"",34565,"",34512,"",105055,"",140615,"",3.04,"",4.07,"",28033,""
1056,2011/12,"",Elective,"",S92000003, d,5,"",29559,"",29611,"",87265,"",118058,"",2.95,"",3.99,"",24047,""
1057,2011/12,"",Elective,"",S92000003, d,All SIMDs, d,178081,"",178058,"",554271,"",727436,"",3.11,"",4.09,"",143988,""
1058,2011/12,"",Elective,"",S92000003, d,"",:,577,"",572,"",1603,"",1967,"",2.78,"",3.44,"",499,""
1059,2011/12,"",Elective,"",S08000015,"",1,"",2795,"",2838,"",8431,"",10031,"",3.02,"",3.53,"",2311,""
1060,2011/12,"",Elective,"",S08000015,"",2,"",2892,"",2932,"",8503,"",10750,"",2.94,"",3.67,"",2342,""
1061,2011/12,"",Elective,"",S08000015,"",3,"",1442,"",1461,"",4764,"",5779,"",3.3,"",3.96,"",1193,""
1062,2011/12,"",Elective,"",S08000015,"",4,"",1398,"",1420,"",3470,"",4494,"",2.48,"",3.16,"",1159,""
1063,2011/12,"",Elective,"",S08000015,"",5,"",1125,"",1150,"",3149,"",4240,"",2.8,"",3.69,"",924,""
1064,2011/12,"",Elective,"",S08000015,"",All SIMDs, d,9666,"",9816,"",28348,"",35335,"",2.93,"",3.6,"",7941,""
1065,2011/12,"",Elective,"",S08000015,"","",:,14,"",15,"",31,"",40,"",2.21,"",2.67,"",12,""
1066,2011/12,"",Elective,"",S08000016,"",1,"",100,"",100,"",206,"",240,"",2.06,"",2.4,"",97,""
1067,2011/12,"",Elective,"",S08000016,"",2,"",308,"",311,"",698,"",1259,"",2.27,"",4.05,"",284,""
1068,2011/12,"",Elective,"",S08000016,"",3,"",644,"",650,"",1366,"",1997,"",2.12,"",3.07,"",598,""
1069,2011/12,"",Elective,"",S08000016,"",4,"",745,"",745,"",1367,"",1920,"",1.83,"",2.58,"",696,""
1070,2011/12,"",Elective,"",S08000016,"",5,"",105,"",105,"",214,"",275,"",2.04,"",2.62,"",96,""
1071,2011/12,"",Elective,"",S08000016,"",All SIMDs, d,2008,"",2020,"",4055,"",5990,"",2.02,"",2.97,"",1873,""
1072,2011/12,"",Elective,"",S08000016,"","",:,105,"",105,"",204,"",300,"",1.94,"",2.86,"",102,""
1073,2011/12,"",Elective,"",S08000017,"",1,"",300,"",301,"",572,"",715,"",1.91,"",2.38,"",265,""
1074,2011/12,"",Elective,"",S08000017,"",2,"",970,"",990,"",2090,"",3003,"",2.15,"",3.03,"",845,""
1075,2011/12,"",Elective,"",S08000017,"",3,"",1515,"",1534,"",3142,"",4913,"",2.07,"",3.2,"",1331,""
1076,2011/12,"",Elective,"",S08000017,"",4,"",847,"",858,"",1889,"",3233,"",2.23,"",3.77,"",748,""
1077,2011/12,"",Elective,"",S08000017,"",5,"",275,"",280,"",655,"",900,"",2.38,"",3.21,"",237,""
1078,2011/12,"",Elective,"",S08000017,"",All SIMDs, d,3917,"",3974,"",8365,"",12783,"",2.14,"",3.22,"",3436,""
1079,2011/12,"",Elective,"",S08000017,"","",:,10,"",10,"",15,"",20,"",1.5,"",2,"",10,""
1080,2011/12,"",Elective,"",S08000019,"",1,"",600,"",595,"",1553,"",2211,"",2.59,"",3.72,"",569,""
1081,2011/12,"",Elective,"",S08000019,"",2,"",963,"",967,"",2289,"",3495,"",2.38,"",3.61,"",913,""
1082,2011/12,"",Elective,"",S08000019,"",3,"",726,"",728,"",1836,"",2630,"",2.53,"",3.61,"",692,""
1083,2011/12,"",Elective,"",S08000019,"",4,"",727,"",728,"",1484,"",2041,"",2.04,"",2.8,"",690,""
1084,2011/12,"",Elective,"",S08000019,"",5,"",590,"",595,"",1327,"",1890,"",2.25,"",3.18,"",569,""
1085,2011/12,"",Elective,"",S08000019,"",All SIMDs, d,3606,"",3612,"",8489,"",12267,"",2.35,"",3.4,"",3433,""
1086,2011/12,"",Elective,"",S08000019,"","",:,0,"",0,"",0,"",0,"",0,"",0,"",0,""
1087,2011/12,"",Elective,"",S08000020,"",1,"",1156,"",1160,"",3066,"",5290,"",2.65,"",4.56,"",985,""
1088,2011/12,"",Elective,"",S08000020,"",2,"",2638,"",2644,"",8125,"",11264,"",3.08,"",4.26,"",2246,""
1089,2011/12,"",Elective,"",S08000020,"",3,"",4353,"",4359,"",14663,"",20328,"",3.37,"",4.66,"",3632,""
1090,2011/12,"",Elective,"",S08000020,"",4,"",4956,"",4951,"",16014,"",22763,"",3.23,"",4.6,"",4167,""
1091,2011/12,"",Elective,"",S08000020,"",5,"",4451,"",4470,"",12953,"",19427,"",2.91,"",4.35,"",3724,""
1092,2011/12,"",Elective,"",S08000020,"",All SIMDs, d,17617,"",17648,"",54968,"",79260,"",3.12,"",4.49,"",14810,""
1093,2011/12,"",Elective,"",S08000020,"","",:,63,"",60,"",147,"",188,"",2.33,"",3.13,"",56,""
1094,2011/12,"",Elective,"",S08000022,"",1,"",606,"",607,"",2175,"",2750,"",3.59,"",4.53,"",526,""
1095,2011/12,"",Elective,"",S08000022,"",2,"",1802,"",1792,"",5833,"",7765,"",3.24,"",4.33,"",1482,""
1096,2011/12,"",Elective,"",S08000022,"",3,"",2903,"",2887,"",9313,"",12842,"",3.21,"",4.45,"",2407,""
1097,2011/12,"",Elective,"",S08000022,"",4,"",2234,"",2241,"",6579,"",9435,"",2.94,"",4.21,"",1890,""
1098,2011/12,"",Elective,"",S08000022,"",5,"",570,"",575,"",1492,"",1990,"",2.62,"",3.46,"",477,""
1099,2011/12,"",Elective,"",S08000022,"",All SIMDs, d,8135,"",8118,"",25503,"",34893,"",3.13,"",4.3,"",6800,""
1100,2011/12,"",Elective,"",S08000022,"","",:,20,"",20,"",111,"",110,"",5.55,"",5.5,"",18,""
1101,2011/12,"",Elective,"",S08000024,"",1,"",4354,"",4305,"",12198,"",19050,"",2.8,"",4.43,"",3547,""
1102,2011/12,"",Elective,"",S08000024,"",2,"",6190,"",6118,"",19411,"",28495,"",3.14,"",4.66,"",5065,""
1103,2011/12,"",Elective,"",S08000024,"",3,"",5928,"",5873,"",18438,"",27550,"",3.11,"",4.69,"",4875,""
1104,2011/12,"",Elective,"",S08000024,"",4,"",5871,"",5775,"",18591,"",27575,"",3.17,"",4.77,"",4790,""
1105,2011/12,"",Elective,"",S08000024,"",5,"",6982,"",6945,"",21108,"",31307,"",3.02,"",4.51,"",5733,""
1106,2011/12,"",Elective,"",S08000024,"",All SIMDs, d,29560,"",29248,"",90337,"",134674,"",3.06,"",4.6,"",24209,""
1107,2011/12,"",Elective,"",S08000024,"","",:,235,"",230,"",591,"",695,"",2.51,"",3.02,"",199,""
1108,2011/12,"",Elective,"",S08000025,"",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
1109,2011/12,"",Elective,"",S08000025,"",2,"",50,"",51,"",87,"",87,"",1.74,"",1.71,"",40,""
1110,2011/12,"",Elective,"",S08000025,"",3,"",45,"",45,"",65,"",70,"",1.44,"",1.56,"",40,""
1111,2011/12,"",Elective,"",S08000025,"",4,"",107,"",110,"",185,"",205,"",1.73,"",1.86,"",97,""
1112,2011/12,"",Elective,"",S08000025,"",5,"",5,"",5,"",5,"",5,"",1,"",1,"",5,""
1113,2011/12,"",Elective,"",S08000025,"",All SIMDs, d,208,"",210,"",343,"",365,"",1.65,"",1.74,"",183,""
1114,2011/12,"",Elective,"",S08000025,"","",:,0,"",0,"",0,"",0,"",0,"",0,"",0,""
1115,2011/12,"",Elective,"",S08000026,"",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
1116,2011/12,"",Elective,"",S08000026,"",2,"",30,"",30,"",59,"",65,"",1.97,"",2.17,"",28,""
1117,2011/12,"",Elective,"",S08000026,"",3,"",165,"",165,"",440,"",445,"",2.67,"",2.7,"",148,""
1118,2011/12,"",Elective,"",S08000026,"",4,"",160,"",160,"",325,"",330,"",2.03,"",2.06,"",140,""
1119,2011/12,"",Elective,"",S08000026,"",5,"",20,"",20,"",20,"",20,"",1,"",1,"",18,""
1120,2011/12,"",Elective,"",S08000026,"",All SIMDs, d,373,"",375,"",843,"",859,"",2.26,"",2.29,"",334,""
1121,2011/12,"",Elective,"",S08000028,"",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
1122,2011/12,"",Elective,"",S08000028,"",2,"",250,"",255,"",810,"",1020,"",3.24,"",4,"",219,""
1123,2011/12,"",Elective,"",S08000028,"",3,"",395,"",395,"",1040,"",1270,"",2.63,"",3.22,"",349,""
1124,2011/12,"",Elective,"",S08000028,"",4,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
1125,2011/12,"",Elective,"",S08000028,"",All SIMDs, d,646,"",647,"",1850,"",2290,"",2.86,"",3.54,"",568,""
1126,2011/12,"",Elective,"",S08000028,"","",:,0,"",0,"",0,"",0,"",0,"",0,"",0,""
1127,2011/12,"",Elective,"",S08000029,"",1,"",1555,"",1558,"",4665,"",5056,"",3,"",3.25,"",1373,""
1128,2011/12,"",Elective,"",S08000029,"",2,"",1846,"",1851,"",5306,"",5831,"",2.87,"",3.15,"",1598,""
1129,2011/12,"",Elective,"",S08000029,"",3,"",1477,"",1488,"",3997,"",4923,"",2.71,"",3.31,"",1315,""
1130,2011/12,"",Elective,"",S08000029,"",4,"",1130,"",1140,"",2921,"",4021,"",2.58,"",3.53,"",985,""
1131,2011/12,"",Elective,"",S08000029,"",5,"",1180,"",1184,"",2875,"",3910,"",2.44,"",3.3,"",1035,""
1132,2011/12,"",Elective,"",S08000029,"",All SIMDs, d,7189,"",7221,"",19777,"",23740,"",2.75,"",3.29,"",6311,""
1133,2011/12,"",Elective,"",S08000029,"","",:,5,"",0,"",13,"",0,"",2.6,"",0,"",5,""
1134,2011/12,"",Elective,"",S08000030,"",1,"",2976,"",2971,"",9871,"",10191,"",3.32,"",3.43,"",2246,""
1135,2011/12,"",Elective,"",S08000030,"",2,"",2816,"",2805,"",9050,"",11002,"",3.21,"",3.92,"",2253,""
1136,2011/12,"",Elective,"",S08000030,"",3,"",3095,"",3100,"",8230,"",10565,"",2.66,"",3.41,"",2510,""
1137,2011/12,"",Elective,"",S08000030,"",4,"",5348,"",5352,"",15081,"",18713,"",2.82,"",3.5,"",4193,""
1138,2011/12,"",Elective,"",S08000030,"",5,"",3083,"",3088,"",8319,"",10604,"",2.7,"",3.43,"",2545,""
1139,2011/12,"",Elective,"",S08000030,"",All SIMDs, d,17332,"",17328,"",50615,"",61139,"",2.92,"",3.53,"",13758,""
1140,2011/12,"",Elective,"",S08000030,"","",:,14,"",15,"",64,"",64,"",4.57,"",4.27,"",11,""
1141,2011/12,"",Elective,"",S08000031,"",1,"",19820,"",19904,"",60128,"",73035,"",3.03,"",3.67,"",15471,""
1142,2011/12,"",Elective,"",S08000031,"",2,"",11636,"",11671,"",36246,"",43620,"",3.11,"",3.74,"",8901,""
1143,2011/12,"",Elective,"",S08000031,"",3,"",10019,"",10000,"",31578,"",39210,"",3.15,"",3.92,"",7805,""
1144,2011/12,"",Elective,"",S08000031,"",4,"",8391,"",8398,"",25253,"",30726,"",3.01,"",3.66,"",6519,""
1145,2011/12,"",Elective,"",S08000031,"",5,"",8754,"",8797,"",25073,"",30894,"",2.86,"",3.51,"",6785,""
1146,2011/12,"",Elective,"",S08000031,"",All SIMDs, d,58717,"",58868,"",178543,"",217950,"",3.04,"",3.7,"",45557,""
1147,2011/12,"",Elective,"",S08000031,"","",:,97,"",98,"",265,"",460,"",2.73,"",4.69,"",76,""
1148,2011/12,"",Elective,"",S08000032,"",1,"",2903,"",2950,"",9689,"",12470,"",3.34,"",4.23,"",2542,""
1149,2011/12,"",Elective,"",S08000032,"",2,"",2931,"",3002,"",9229,"",13221,"",3.15,"",4.4,"",2580,""
1150,2011/12,"",Elective,"",S08000032,"",3,"",2178,"",2239,"",6909,"",9696,"",3.17,"",4.33,"",1930,""
1151,2011/12,"",Elective,"",S08000032,"",4,"",1129,"",1154,"",3411,"",4361,"",3.02,"",3.78,"",992,""
1152,2011/12,"",Elective,"",S08000032,"",5,"",1015,"",1050,"",2770,"",3560,"",2.73,"",3.39,"",895,""
1153,2011/12,"",Elective,"",S08000032,"",All SIMDs, d,10161,"",10398,"",32021,"",43320,"",3.15,"",4.17,"",8945,""
1154,2011/12,"",Elective,"",S08000032,"","",:,5,"",5,"",15,"",15,"",3,"",3,"",5,""
1155,2011/12,"",Elective,"",SB0801,"",1,"",1489,"",1492,"",4261,"",9287,"",2.86,"",6.22,"",1357,""
1156,2011/12,"",Elective,"",SB0801,"",2,"",1396,"",1416,"",4764,"",8962,"",3.41,"",6.33,"",1297,""
1157,2011/12,"",Elective,"",SB0801,"",3,"",1375,"",1372,"",4590,"",8566,"",3.34,"",6.24,"",1279,""
1158,2011/12,"",Elective,"",SB0801,"",4,"",1090,"",1093,"",3585,"",6648,"",3.29,"",6.08,"",1019,""
1159,2011/12,"",Elective,"",SB0801,"",5,"",975,"",970,"",3155,"",5700,"",3.24,"",5.88,"",905,""
1160,2011/12,"",Elective,"",SB0801,"",All SIMDs, d,6327,"",6348,"",20357,"",39175,"",3.22,"",6.17,"",5859,""
1161,2011/12,"",Elective,"",SB0801,"","",:,5,"",5,"",0,"",10,"",0,"",2,"",5,""
1162,2011/12,"",Elective,"",S27000001,"",1,"",738,"",576,"",9981,"",7784,"",13.52,"",13.51,"",647,""
1163,2011/12,"",Elective,"",S27000001,"",2,"",548,"",465,"",6237,"",4454,"",11.38,"",9.58,"",503,""
1164,2011/12,"",Elective,"",S27000001,"",3,"",463,"",413,"",4444,"",3605,"",9.6,"",8.73,"",429,""
1165,2011/12,"",Elective,"",S27000001,"",4,"",430,"",386,"",4903,"",4151,"",11.4,"",10.75,"",403,""
1166,2011/12,"",Elective,"",S27000001,"",5,"",431,"",380,"",4146,"",3340,"",9.62,"",8.79,"",400,""
