_id,FinancialYear,FinancialYearQF,AdmissionType,AdmissionTypeQF,HB,HBQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,Episodes,EpisodesQF,Stays,StaysQF,TotalLengthofEpisode,TotalLengthofEpisodeQF,TotalLengthofStay,TotalLengthofStayQF,AverageLengthofEpisodeRate,AverageLengthofEpisodeRateQF,AverageLengthofStayRate,AverageLengthofStayRateQF,Patients,PatientsQF
789,2010/11,"",All Inpatients and Daycases, d,S08000022,"","",z,Women and Newborn Grouping,d,2135,"",2126,"",3075,"",3075,"",1.44,"",1.45,"",1912,""
790,2010/11,"",All Inpatients and Daycases, d,S08000024,"",A1,"",General Medicine,"",42355,"",34540,"",124128,"",124128,"",2.93,"",3.59,"",24963,""
791,2010/11,"",All Inpatients and Daycases, d,S08000024,"",A2,"",Cardiology,"",8519,"",6879,"",20377,"",20377,"",2.39,"",2.96,"",5962,""
792,2010/11,"",All Inpatients and Daycases, d,S08000024,"",A6,"",Infectious Diseases,"",1608,"",1537,"",10739,"",10739,"",6.68,"",6.99,"",1137,""
793,2010/11,"",All Inpatients and Daycases, d,S08000024,"",A7,"",Dermatology,"",205,"",200,"",3140,"",3140,"",15.32,"",15.7,"",177,""
794,2010/11,"",All Inpatients and Daycases, d,S08000024,"",A8,"",Endocrinology & Diabetes,"",434,"",427,"",270,"",270,"",0.62,"",0.63,"",317,""
795,2010/11,"",All Inpatients and Daycases, d,S08000024,"",A9,"",Gastroenterology,"",4793,"",4025,"",18808,"",18808,"",3.92,"",4.67,"",2690,""
796,2010/11,"",All Inpatients and Daycases, d,S08000024,"",AB,"",Geriatric Medicine,"",7831,"",6440,"",196129,"",196129,"",25.05,"",30.45,"",4977,""
797,2010/11,"",All Inpatients and Daycases, d,S08000024,"",AD,"",Medical Oncology,"",9242,"",9153,"",7153,"",7153,"",0.77,"",0.78,"",1462,""
798,2010/11,"",All Inpatients and Daycases, d,S08000024,"",AF,"",Paediatrics,"",6616,"",6245,"",9378,"",9378,"",1.42,"",1.5,"",4854,""
799,2010/11,"",All Inpatients and Daycases, d,S08000024,"",AG,"",Renal Medicine,"",1642,"",1107,"",7571,"",7571,"",4.61,"",6.84,"",598,""
800,2010/11,"",All Inpatients and Daycases, d,S08000024,"",AH,"",Neurology,"",2637,"",2273,"",7407,"",7407,"",2.81,"",3.26,"",1413,""
801,2010/11,"",All Inpatients and Daycases, d,S08000024,"","",z,All Acute Specialties, d,188515,"",161352,"",762398,"",762398,"",4.04,"",4.73,"",84328,""
802,2010/11,"",All Inpatients and Daycases, d,S08000024,"","",z,All Specialties, d,212431,"",184632,"",790470,"",790470,"",3.72,"",4.28,"",100274,""
803,2010/11,"",All Inpatients and Daycases, d,S08000024,"",AM,"",Palliative Medicine,"",1171,"",1162,"",16994,"",16994,"",14.51,"",14.62,"",869,""
804,2010/11,"",All Inpatients and Daycases, d,S08000024,"",AP,"",Rehabilitation Medicine,"",1584,"",1383,"",75847,"",75847,"",47.88,"",54.84,"",1289,""
805,2010/11,"",All Inpatients and Daycases, d,S08000024,"",AQ,"",Respiratory Medicine,"",7662,"",7213,"",30617,"",30617,"",4,"",4.24,"",5598,""
806,2010/11,"",All Inpatients and Daycases, d,S08000024,"",AR,"",Rheumatology,"",509,"",501,"",2369,"",2369,"",4.65,"",4.73,"",298,""
807,2010/11,"",All Inpatients and Daycases, d,S08000024,"",C1,"",General Surgery,"",27950,"",22491,"",84063,"",84063,"",3.01,"",3.74,"",17825,""
808,2010/11,"",All Inpatients and Daycases, d,S08000024,"",C2,"",Accident & Emergency,"",4097,"",4074,"",1958,"",1958,"",0.48,"",0.48,"",3418,""
809,2010/11,"",All Inpatients and Daycases, d,S08000024,"",C3,"",Anaesthetics,"",4625,"",3739,"",15155,"",15155,"",3.28,"",4.05,"",3577,""
810,2010/11,"",All Inpatients and Daycases, d,S08000024,"",C4,"",Cardiothoracic Surgery,"",5478,"",2064,"",16439,"",16439,"",3,"",7.96,"",1692,""
811,2010/11,"",All Inpatients and Daycases, d,S08000024,"",C5,"","Ear, Nose & Throat (ENT)","",5087,"",4924,"",6022,"",6022,"",1.18,"",1.22,"",4337,""
812,2010/11,"",All Inpatients and Daycases, d,S08000024,"",C6,"",Neurosurgery,"",3912,"",2570,"",13299,"",13299,"",3.4,"",5.17,"",2151,""
813,2010/11,"",All Inpatients and Daycases, d,S08000024,"",C7,"",Ophthalmology,"",6346,"",6169,"",2051,"",2051,"",0.32,"",0.33,"",5360,""
814,2010/11,"",All Inpatients and Daycases, d,S08000024,"",C8,"",Trauma and Orthopaedic Surgery,"",12434,"",11391,"",53954,"",53954,"",4.34,"",4.74,"",10307,""
815,2010/11,"",All Inpatients and Daycases, d,S08000024,"",C9,"",Plastic Surgery,"",7500,"",7309,"",8963,"",8963,"",1.2,"",1.23,"",6128,""
816,2010/11,"",All Inpatients and Daycases, d,S08000024,"",CA,"",Paediatric Surgery,"",2585,"",2433,"",3845,"",3844,"",1.49,"",1.58,"",2019,""
817,2010/11,"",All Inpatients and Daycases, d,S08000024,"",CB,"",Urology,"",6902,"",6171,"",14852,"",14852,"",2.15,"",2.41,"",4377,""
818,2010/11,"",All Inpatients and Daycases, d,S08000024,"","",z,Community Grouping,d,387,"",376,"",4956,"",4956,"",12.81,"",13.18,"",213,""
819,2010/11,"",All Inpatients and Daycases, d,S08000024,"",D3,"",Oral Surgery,"",706,"",701,"",5,"",5,"",0.01,"",0.01,"",672,""
820,2010/11,"",All Inpatients and Daycases, d,S08000024,"",D8,"",Paediatric Dentistry,"",765,"",763,"",25,"",24,"",0.03,"",0.03,"",740,""
821,2010/11,"",All Inpatients and Daycases, d,S08000024,"","",z,Dental Grouping,d,706,"",701,"",5,"",5,"",0.01,"",0.01,"",672,""
822,2010/11,"",All Inpatients and Daycases, d,S08000024,"",E12,"",GP Other than Obstetrics,"",387,"",376,"",4956,"",4956,"",12.81,"",13.18,"",213,""
823,2010/11,"",All Inpatients and Daycases, d,S08000024,"","",z,Emergency Grouping,d,4097,"",4074,"",1958,"",1958,"",0.48,"",0.48,"",3418,""
824,2010/11,"",All Inpatients and Daycases, d,S08000024,"",F2,"",Gynaecology,"",8760,"",8688,"",7907,"",7907,"",0.9,"",0.91,"",7842,""
825,2010/11,"",All Inpatients and Daycases, d,S08000024,"",H1,"",Clinical Radiology,"",160,"",160,"",5,"",5,"",0.03,"",0.03,"",155,""
826,2010/11,"",All Inpatients and Daycases, d,S08000024,"",H2,"",Clinical Oncology,"",5923,"",5853,"",14291,"",14291,"",2.41,"",2.44,"",1725,""
827,2010/11,"",All Inpatients and Daycases, d,S08000024,"",J4,"",Haematology,"",12006,"",11671,"",11754,"",11754,"",0.98,"",1.01,"",1779,""
828,2010/11,"",All Inpatients and Daycases, d,S08000024,"","",z,Medical Grouping,d,108281,"",94524,"",547600,"",547600,"",5.06,"",5.79,"",42741,""
829,2010/11,"",All Inpatients and Daycases, d,S08000024,"","",z,Paediatrics Grouping,d,9966,"",9441,"",13246,"",13246,"",1.33,"",1.4,"",7402,""
830,2010/11,"",All Inpatients and Daycases, d,S08000024,"","",z,Surgery Grouping,d,80234,"",66828,"",214798,"",214798,"",2.68,"",3.21,"",51503,""
831,2010/11,"",All Inpatients and Daycases, d,S08000024,"","",z,Women and Newborn Grouping,d,8760,"",8688,"",7907,"",7907,"",0.9,"",0.91,"",7842,""
832,2010/11,"",All Inpatients and Daycases, d,S08000025,"",AB,"",Geriatric Medicine,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
833,2010/11,"",All Inpatients and Daycases, d,S08000025,"",AD,"",Medical Oncology,"",125,"",125,"",110,"",110,"",0.88,"",0.88,"",36,""
834,2010/11,"",All Inpatients and Daycases, d,S08000025,"",AG,"",Renal Medicine,"",1225,"",1225,"",0,"",0,"",0,"",0,"",24,""
835,2010/11,"",All Inpatients and Daycases, d,S08000025,"","",z,All Acute Specialties, d,3750,"",3744,"",2702,"",2702,"",0.72,"",0.72,"",1813,""
836,2010/11,"",All Inpatients and Daycases, d,S08000025,"","",z,All Specialties, d,5146,"",5042,"",12570,"",12570,"",2.44,"",2.49,"",2513,""
837,2010/11,"",All Inpatients and Daycases, d,S08000025,"",C1,"",General Surgery,"",1909,"",1903,"",2578,"",2578,"",1.35,"",1.35,"",1556,""
838,2010/11,"",All Inpatients and Daycases, d,S08000025,"",C3,"",Anaesthetics,"",289,"",289,"",0,"",0,"",0,"",0,"",71,""
839,2010/11,"",All Inpatients and Daycases, d,S08000025,"",C5,"","Ear, Nose & Throat (ENT)","",50,"",48,"",10,"",10,"",0.2,"",0.21,"",47,""
840,2010/11,"",All Inpatients and Daycases, d,S08000025,"",C7,"",Ophthalmology,"",138,"",138,"",0,"",0,"",0,"",0,"",107,""
841,2010/11,"",All Inpatients and Daycases, d,S08000025,"",C8,"",Trauma and Orthopaedic Surgery,"",15,"",16,"",5,"",5,"",0.33,"",0.31,"",16,""
842,2010/11,"",All Inpatients and Daycases, d,S08000025,"","",z,Community Grouping,d,1297,"",1199,"",9864,"",9864,"",7.61,"",8.23,"",809,""
843,2010/11,"",All Inpatients and Daycases, d,S08000025,"",D1,"",Community Dental Practice,"",44,"",44,"",0,"",0,"",0,"",0,"",43,""
844,2010/11,"",All Inpatients and Daycases, d,S08000025,"",D3,"",Oral Surgery,"",55,"",55,"",5,"",5,"",0.09,"",0.09,"",53,""
845,2010/11,"",All Inpatients and Daycases, d,S08000025,"","",z,Dental Grouping,d,99,"",99,"",5,"",5,"",0.05,"",0.05,"",96,""
846,2010/11,"",All Inpatients and Daycases, d,S08000025,"",E12,"",GP Other than Obstetrics,"",1297,"",1199,"",9864,"",9864,"",7.61,"",8.23,"",809,""
847,2010/11,"",All Inpatients and Daycases, d,S08000025,"",J4,"",Haematology,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
848,2010/11,"",All Inpatients and Daycases, d,S08000025,"","",z,Medical Grouping,d,1350,"",1350,"",110,"",110,"",0.08,"",0.08,"",60,""
849,2010/11,"",All Inpatients and Daycases, d,S08000025,"","",z,Surgery Grouping,d,2400,"",2394,"",2594,"",2594,"",1.08,"",1.08,"",1767,""
850,2010/11,"",All Inpatients and Daycases, d,S08000026,"",A1,"",General Medicine,"",1465,"",1452,"",5820,"",5819,"",3.97,"",4.01,"",900,""
851,2010/11,"",All Inpatients and Daycases, d,S08000026,"",AB,"",Geriatric Medicine,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
852,2010/11,"",All Inpatients and Daycases, d,S08000026,"","",z,All Acute Specialties, d,3904,"",3879,"",10263,"",10263,"",2.63,"",2.65,"",2649,""
853,2010/11,"",All Inpatients and Daycases, d,S08000026,"","",z,All Specialties, d,4210,"",4185,"",10310,"",10310,"",2.45,"",2.46,"",2913,""
854,2010/11,"",All Inpatients and Daycases, d,S08000026,"",C1,"",General Surgery,"",1970,"",1957,"",4388,"",4388,"",2.23,"",2.24,"",1600,""
855,2010/11,"",All Inpatients and Daycases, d,S08000026,"",C3,"",Anaesthetics,"",252,"",252,"",20,"",20,"",0.08,"",0.08,"",166,""
856,2010/11,"",All Inpatients and Daycases, d,S08000026,"",C5,"","Ear, Nose & Throat (ENT)","",84,"",84,"",28,"",28,"",0.33,"",0.33,"",80,""
857,2010/11,"",All Inpatients and Daycases, d,S08000026,"",C7,"",Ophthalmology,"",65,"",66,"",5,"",5,"",0.08,"",0.08,"",54,""
858,2010/11,"",All Inpatients and Daycases, d,S08000026,"",C8,"",Trauma and Orthopaedic Surgery,"",70,"",68,"",5,"",5,"",0.07,"",0.07,"",65,""
859,2010/11,"",All Inpatients and Daycases, d,S08000026,"",CA,"",Paediatric Surgery,"",5,"",5,"",0,"",0,"",0,"",0,"",5,""
860,2010/11,"",All Inpatients and Daycases, d,S08000026,"","",z,Community Grouping,d,20,"",20,"",41,"",41,"",2.05,"",2.05,"",18,""
861,2010/11,"",All Inpatients and Daycases, d,S08000026,"",D3,"",Oral Surgery,"",282,"",282,"",5,"",5,"",0.02,"",0.02,"",269,""
862,2010/11,"",All Inpatients and Daycases, d,S08000026,"","",z,Dental Grouping,d,282,"",282,"",5,"",5,"",0.02,"",0.02,"",269,""
863,2010/11,"",All Inpatients and Daycases, d,S08000026,"",E12,"",GP Other than Obstetrics,"",20,"",20,"",41,"",41,"",2.05,"",2.05,"",18,""
864,2010/11,"",All Inpatients and Daycases, d,S08000026,"","",z,Medical Grouping,d,1465,"",1452,"",5820,"",5819,"",3.97,"",4.01,"",900,""
865,2010/11,"",All Inpatients and Daycases, d,S08000026,"","",z,Paediatrics Grouping,d,5,"",5,"",0,"",0,"",0,"",0,"",5,""
866,2010/11,"",All Inpatients and Daycases, d,S08000026,"","",z,Surgery Grouping,d,2440,"",2427,"",4444,"",4444,"",1.82,"",1.83,"",1914,""
867,2010/11,"",All Inpatients and Daycases, d,S08000028,"",A1,"",General Medicine,"",1783,"",1417,"",14438,"",14438,"",8.1,"",10.19,"",1011,""
868,2010/11,"",All Inpatients and Daycases, d,S08000028,"",A2,"",Cardiology,"",25,"",23,"",60,"",62,"",2.4,"",2.7,"",23,""
869,2010/11,"",All Inpatients and Daycases, d,S08000028,"",A7,"",Dermatology,"",15,"",13,"",130,"",130,"",8.67,"",10,"",13,""
870,2010/11,"",All Inpatients and Daycases, d,S08000028,"",AB,"",Geriatric Medicine,"",16,"",14,"",320,"",320,"",20,"",22.86,"",14,""
871,2010/11,"",All Inpatients and Daycases, d,S08000028,"",AD,"",Medical Oncology,"",0,"",0,"",0,"",0,"",0,"",0,"",0,""
872,2010/11,"",All Inpatients and Daycases, d,S08000028,"",AF,"",Paediatrics,"",120,"",120,"",93,"",93,"",0.78,"",0.78,"",102,""
873,2010/11,"",All Inpatients and Daycases, d,S08000028,"","",z,All Acute Specialties, d,5210,"",4671,"",22680,"",22680,"",4.35,"",4.86,"",3192,""
874,2010/11,"",All Inpatients and Daycases, d,S08000028,"","",z,All Specialties, d,6449,"",5884,"",32512,"",32512,"",5.04,"",5.53,"",3930,""
875,2010/11,"",All Inpatients and Daycases, d,S08000028,"",AP,"",Rehabilitation Medicine,"",15,"",10,"",470,"",472,"",31.33,"",47.2,"",10,""
876,2010/11,"",All Inpatients and Daycases, d,S08000028,"",C1,"",General Surgery,"",2424,"",2321,"",4022,"",4022,"",1.66,"",1.73,"",1774,""
877,2010/11,"",All Inpatients and Daycases, d,S08000028,"",C3,"",Anaesthetics,"",10,"",12,"",0,"",0,"",0,"",0,"",10,""
878,2010/11,"",All Inpatients and Daycases, d,S08000028,"",C5,"","Ear, Nose & Throat (ENT)","",88,"",88,"",25,"",26,"",0.28,"",0.3,"",81,""
879,2010/11,"",All Inpatients and Daycases, d,S08000028,"",C7,"",Ophthalmology,"",315,"",315,"",35,"",34,"",0.11,"",0.11,"",251,""
880,2010/11,"",All Inpatients and Daycases, d,S08000028,"",C8,"",Trauma and Orthopaedic Surgery,"",438,"",377,"",3127,"",3127,"",7.14,"",8.29,"",339,""
881,2010/11,"",All Inpatients and Daycases, d,S08000028,"",CB,"",Urology,"",80,"",81,"",50,"",49,"",0.62,"",0.6,"",61,""
882,2010/11,"",All Inpatients and Daycases, d,S08000028,"","",z,Community Grouping,d,855,"",831,"",9313,"",9313,"",10.89,"",11.21,"",542,""
883,2010/11,"",All Inpatients and Daycases, d,S08000028,"",D3,"",Oral Surgery,"",20,"",22,"",5,"",5,"",0.25,"",0.23,"",22,""
884,2010/11,"",All Inpatients and Daycases, d,S08000028,"",D4,"",Oral Medicine,"",15,"",14,"",5,"",5,"",0.33,"",0.36,"",14,""
885,2010/11,"",All Inpatients and Daycases, d,S08000028,"","",z,Dental Grouping,d,35,"",36,"",10,"",10,"",0.29,"",0.28,"",36,""
886,2010/11,"",All Inpatients and Daycases, d,S08000028,"",E12,"",GP Other than Obstetrics,"",855,"",831,"",9313,"",9313,"",10.89,"",11.21,"",542,""
887,2010/11,"",All Inpatients and Daycases, d,S08000028,"",F2,"",Gynaecology,"",228,"",226,"",415,"",416,"",1.82,"",1.84,"",209,""
888,2010/11,"",All Inpatients and Daycases, d,S08000028,"","",z,Medical Grouping,d,1852,"",1477,"",15422,"",15422,"",8.33,"",10.44,"",1047,""
889,2010/11,"",All Inpatients and Daycases, d,S08000028,"","",z,Paediatrics Grouping,d,120,"",120,"",93,"",93,"",0.78,"",0.78,"",102,""
890,2010/11,"",All Inpatients and Daycases, d,S08000028,"","",z,Surgery Grouping,d,3358,"",3194,"",7258,"",7258,"",2.16,"",2.27,"",2388,""
891,2010/11,"",All Inpatients and Daycases, d,S08000028,"","",z,Women and Newborn Grouping,d,228,"",226,"",415,"",416,"",1.82,"",1.84,"",209,""
892,2010/11,"",All Inpatients and Daycases, d,S08000029,"",A1,"",General Medicine,"",22453,"",17020,"",65855,"",65855,"",2.93,"",3.87,"",12254,""
893,2010/11,"",All Inpatients and Daycases, d,S08000029,"",A2,"",Cardiology,"",2327,"",1989,"",7770,"",7770,"",3.34,"",3.91,"",1646,""
894,2010/11,"",All Inpatients and Daycases, d,S08000029,"",A6,"",Infectious Diseases,"",438,"",428,"",3614,"",3614,"",8.25,"",8.44,"",404,""
895,2010/11,"",All Inpatients and Daycases, d,S08000029,"",A7,"",Dermatology,"",5,"",5,"",35,"",35,"",7,"",7,"",5,""
896,2010/11,"",All Inpatients and Daycases, d,S08000029,"",A8,"",Endocrinology & Diabetes,"",35,"",35,"",0,"",0,"",0,"",0,"",26,""
897,2010/11,"",All Inpatients and Daycases, d,S08000029,"",A9,"",Gastroenterology,"",972,"",930,"",85,"",83,"",0.09,"",0.09,"",541,""
898,2010/11,"",All Inpatients and Daycases, d,S08000029,"",AB,"",Geriatric Medicine,"",2404,"",1941,"",40817,"",40817,"",16.98,"",21.03,"",1719,""
899,2010/11,"",All Inpatients and Daycases, d,S08000029,"",AD,"",Medical Oncology,"",1625,"",1624,"",142,"",142,"",0.09,"",0.09,"",275,""
900,2010/11,"",All Inpatients and Daycases, d,S08000029,"",AF,"",Paediatrics,"",1902,"",1883,"",3290,"",3290,"",1.73,"",1.75,"",1500,""
901,2010/11,"",All Inpatients and Daycases, d,S08000029,"",AG,"",Renal Medicine,"",444,"",409,"",3885,"",3885,"",8.75,"",9.5,"",239,""
902,2010/11,"",All Inpatients and Daycases, d,S08000029,"",AH,"",Neurology,"",149,"",148,"",50,"",50,"",0.34,"",0.34,"",79,""
903,2010/11,"",All Inpatients and Daycases, d,S08000029,"","",z,All Acute Specialties, d,64974,"",56852,"",208506,"",208506,"",3.21,"",3.67,"",29365,""
904,2010/11,"",All Inpatients and Daycases, d,S08000029,"","",z,All Specialties, d,72594,"",64374,"",233316,"",233316,"",3.21,"",3.62,"",34938,""
905,2010/11,"",All Inpatients and Daycases, d,S08000029,"",AM,"",Palliative Medicine,"",428,"",413,"",6792,"",6792,"",15.87,"",16.45,"",350,""
906,2010/11,"",All Inpatients and Daycases, d,S08000029,"",AP,"",Rehabilitation Medicine,"",60,"",59,"",5207,"",5207,"",86.78,"",88.25,"",59,""
907,2010/11,"",All Inpatients and Daycases, d,S08000029,"",AQ,"",Respiratory Medicine,"",1862,"",1823,"",10821,"",10821,"",5.81,"",5.94,"",1461,""
908,2010/11,"",All Inpatients and Daycases, d,S08000029,"",AR,"",Rheumatology,"",522,"",522,"",5,"",5,"",0.01,"",0.01,"",152,""
909,2010/11,"",All Inpatients and Daycases, d,S08000029,"",C1,"",General Surgery,"",9204,"",7791,"",28804,"",28804,"",3.13,"",3.7,"",6318,""
910,2010/11,"",All Inpatients and Daycases, d,S08000029,"",C2,"",Accident & Emergency,"",424,"",422,"",334,"",334,"",0.79,"",0.79,"",406,""
911,2010/11,"",All Inpatients and Daycases, d,S08000029,"",C3,"",Anaesthetics,"",602,"",583,"",2637,"",2637,"",4.38,"",4.52,"",547,""
912,2010/11,"",All Inpatients and Daycases, d,S08000029,"",C5,"","Ear, Nose & Throat (ENT)","",1652,"",1647,"",1120,"",1122,"",0.68,"",0.68,"",1530,""
913,2010/11,"",All Inpatients and Daycases, d,S08000029,"",C7,"",Ophthalmology,"",2774,"",2771,"",585,"",587,"",0.21,"",0.21,"",1979,""
914,2010/11,"",All Inpatients and Daycases, d,S08000029,"",C8,"",Trauma and Orthopaedic Surgery,"",5967,"",5879,"",20859,"",20859,"",3.5,"",3.55,"",5260,""
915,2010/11,"",All Inpatients and Daycases, d,S08000029,"",C9,"",Plastic Surgery,"",452,"",452,"",0,"",0,"",0,"",0,"",408,""
916,2010/11,"",All Inpatients and Daycases, d,S08000029,"",CA,"",Paediatric Surgery,"",96,"",95,"",5,"",5,"",0.05,"",0.05,"",94,""
917,2010/11,"",All Inpatients and Daycases, d,S08000029,"",CB,"",Urology,"",3814,"",3662,"",5802,"",5802,"",1.52,"",1.58,"",2105,""
918,2010/11,"",All Inpatients and Daycases, d,S08000029,"","",z,Community Grouping,d,640,"",606,"",17827,"",17827,"",27.85,"",29.42,"",487,""
919,2010/11,"",All Inpatients and Daycases, d,S08000029,"",D3,"",Oral Surgery,"",1047,"",1034,"",544,"",544,"",0.52,"",0.53,"",934,""
920,2010/11,"",All Inpatients and Daycases, d,S08000029,"","",z,Dental Grouping,d,1047,"",1034,"",544,"",544,"",0.52,"",0.53,"",934,""
921,2010/11,"",All Inpatients and Daycases, d,S08000029,"",E12,"",GP Other than Obstetrics,"",640,"",606,"",17827,"",17827,"",27.85,"",29.42,"",487,""
922,2010/11,"",All Inpatients and Daycases, d,S08000029,"","",z,Emergency Grouping,d,424,"",422,"",334,"",334,"",0.79,"",0.79,"",406,""
923,2010/11,"",All Inpatients and Daycases, d,S08000029,"",F2,"",Gynaecology,"",3511,"",3482,"",2811,"",2811,"",0.8,"",0.81,"",3068,""
924,2010/11,"",All Inpatients and Daycases, d,S08000029,"",H2,"",Clinical Oncology,"",520,"",518,"",120,"",119,"",0.23,"",0.23,"",118,""
925,2010/11,"",All Inpatients and Daycases, d,S08000029,"",J4,"",Haematology,"",6265,"",6204,"",3502,"",3502,"",0.56,"",0.56,"",976,""
926,2010/11,"",All Inpatients and Daycases, d,S08000029,"","",z,Medical Grouping,d,40509,"",34067,"",148695,"",148695,"",3.67,"",4.36,"",14983,""
927,2010/11,"",All Inpatients and Daycases, d,S08000029,"","",z,Paediatrics Grouping,d,1998,"",1978,"",3294,"",3294,"",1.65,"",1.67,"",1587,""
928,2010/11,"",All Inpatients and Daycases, d,S08000029,"","",z,Surgery Grouping,d,24465,"",22785,"",59811,"",59811,"",2.44,"",2.63,"",17260,""
929,2010/11,"",All Inpatients and Daycases, d,S08000029,"","",z,Women and Newborn Grouping,d,3511,"",3482,"",2811,"",2811,"",0.8,"",0.81,"",3068,""
930,2010/11,"",All Inpatients and Daycases, d,S08000030,"",A1,"",General Medicine,"",24670,"",21858,"",75618,"",75618,"",3.07,"",3.46,"",16117,""
931,2010/11,"",All Inpatients and Daycases, d,S08000030,"",A2,"",Cardiology,"",3831,"",2957,"",10718,"",10718,"",2.8,"",3.62,"",2438,""
932,2010/11,"",All Inpatients and Daycases, d,S08000030,"",A6,"",Infectious Diseases,"",691,"",663,"",3979,"",3979,"",5.76,"",6,"",622,""
933,2010/11,"",All Inpatients and Daycases, d,S08000030,"",A7,"",Dermatology,"",467,"",466,"",3983,"",3983,"",8.53,"",8.55,"",279,""
934,2010/11,"",All Inpatients and Daycases, d,S08000030,"",A8,"",Endocrinology & Diabetes,"",20,"",16,"",115,"",117,"",5.75,"",7.31,"",15,""
935,2010/11,"",All Inpatients and Daycases, d,S08000030,"",A9,"",Gastroenterology,"",1765,"",1716,"",8996,"",8996,"",5.1,"",5.24,"",937,""
936,2010/11,"",All Inpatients and Daycases, d,S08000030,"",AB,"",Geriatric Medicine,"",3149,"",2709,"",71873,"",71873,"",22.82,"",26.53,"",2207,""
937,2010/11,"",All Inpatients and Daycases, d,S08000030,"",AD,"",Medical Oncology,"",260,"",260,"",1694,"",1694,"",6.52,"",6.52,"",151,""
938,2010/11,"",All Inpatients and Daycases, d,S08000030,"",AF,"",Paediatrics,"",6339,"",6246,"",7587,"",7587,"",1.2,"",1.21,"",4127,""
939,2010/11,"",All Inpatients and Daycases, d,S08000030,"",AG,"",Renal Medicine,"",878,"",828,"",6835,"",6835,"",7.78,"",8.25,"",477,""
940,2010/11,"",All Inpatients and Daycases, d,S08000030,"",AH,"",Neurology,"",758,"",744,"",3287,"",3287,"",4.34,"",4.42,"",452,""
941,2010/11,"",All Inpatients and Daycases, d,S08000030,"","",z,All Acute Specialties, d,80822,"",73982,"",355436,"",355436,"",4.4,"",4.8,"",45656,""
942,2010/11,"",All Inpatients and Daycases, d,S08000030,"","",z,All Specialties, d,95548,"",88335,"",400677,"",400677,"",4.19,"",4.54,"",54882,""
943,2010/11,"",All Inpatients and Daycases, d,S08000030,"",AM,"",Palliative Medicine,"",570,"",531,"",10749,"",10749,"",18.86,"",20.24,"",417,""
944,2010/11,"",All Inpatients and Daycases, d,S08000030,"",AP,"",Rehabilitation Medicine,"",196,"",188,"",9087,"",9087,"",46.36,"",48.34,"",186,""
945,2010/11,"",All Inpatients and Daycases, d,S08000030,"",AQ,"",Respiratory Medicine,"",1641,"",1568,"",9292,"",9292,"",5.66,"",5.93,"",1256,""
946,2010/11,"",All Inpatients and Daycases, d,S08000030,"",AR,"",Rheumatology,"",150,"",148,"",135,"",134,"",0.9,"",0.91,"",65,""
947,2010/11,"",All Inpatients and Daycases, d,S08000030,"",C1,"",General Surgery,"",14265,"",12445,"",56948,"",56948,"",3.99,"",4.58,"",10214,""
948,2010/11,"",All Inpatients and Daycases, d,S08000030,"",C2,"",Accident & Emergency,"",1614,"",1609,"",858,"",858,"",0.53,"",0.53,"",1468,""
949,2010/11,"",All Inpatients and Daycases, d,S08000030,"",C3,"",Anaesthetics,"",570,"",531,"",2900,"",2899,"",5.09,"",5.46,"",480,""
950,2010/11,"",All Inpatients and Daycases, d,S08000030,"",C5,"","Ear, Nose & Throat (ENT)","",2881,"",2871,"",4448,"",4448,"",1.54,"",1.55,"",2539,""
951,2010/11,"",All Inpatients and Daycases, d,S08000030,"",C6,"",Neurosurgery,"",1245,"",1220,"",6950,"",6950,"",5.58,"",5.7,"",1064,""
952,2010/11,"",All Inpatients and Daycases, d,S08000030,"",C7,"",Ophthalmology,"",4595,"",4594,"",1810,"",1812,"",0.39,"",0.39,"",3567,""
953,2010/11,"",All Inpatients and Daycases, d,S08000030,"",C8,"",Trauma and Orthopaedic Surgery,"",9160,"",8833,"",41705,"",41705,"",4.55,"",4.72,"",7889,""
954,2010/11,"",All Inpatients and Daycases, d,S08000030,"",C9,"",Plastic Surgery,"",2568,"",2501,"",4549,"",4549,"",1.77,"",1.82,"",2175,""
955,2010/11,"",All Inpatients and Daycases, d,S08000030,"",CA,"",Paediatric Surgery,"",340,"",342,"",50,"",50,"",0.15,"",0.15,"",327,""
956,2010/11,"",All Inpatients and Daycases, d,S08000030,"",CB,"",Urology,"",3999,"",3869,"",7146,"",7146,"",1.79,"",1.85,"",3110,""
957,2010/11,"",All Inpatients and Daycases, d,S08000030,"","",z,Community Grouping,d,1754,"",1631,"",33064,"",33064,"",18.85,"",20.27,"",1195,""
958,2010/11,"",All Inpatients and Daycases, d,S08000030,"",D1,"",Community Dental Practice,"",541,"",503,"",10,"",10,"",0.02,"",0.02,"",484,""
959,2010/11,"",All Inpatients and Daycases, d,S08000030,"",D3,"",Oral Surgery,"",375,"",324,"",27,"",27,"",0.07,"",0.08,"",321,""
960,2010/11,"",All Inpatients and Daycases, d,S08000030,"",D6,"",Restorative Dentistry,"",30,"",30,"",5,"",5,"",0.17,"",0.17,"",28,""
